;30/60/2017;kestrel;phytos;20;l;55;1100,00 €;;;
;30/60/2017;oceor Xpro;phytos;10;l;60;600,00 €;;;
;30/60/2017;baia;phytos;12;l;10;120,00 €;;;
002987667 - 001;30/50/2017;axial pratic pdr;phytos;15;l;45;675,00 €;----;----;magasin appro
002987667 - 002;30/50/2017;sulfate ammoniac cristalise;engrais;0,1;t;275;27,50 €;----;----;magasin appro
002987667 - 003;30/50/2017;huile mix in;phytos;20;l;4,3;86,00 €;----;----;magasin appro
002987667 - 004;30/50/2017;librax;phytos;20;l;55;1 100,00 €;;;magasin appro
002987667 - 005;30/50/2017;biplay sx;phytos;0,3;kg;450;135,00 €;;;magasin appro
002987667 - 006;30/50/2017;hurler;phytos;10;l;14;140,00 €;;;magasin appro
002987667 - 007;30/50/2017;meltop 500 pdr;phytos;15;l;35;525,00 €;;;magasin appro
002987667 - 008;30/50/2017;unix max;phytos;10;l;25;250,00 €;;;magasin appro
002987554 - 001;24/40/2017;bofix pdr;phytos;60;l;11,989;719,34;366272;30/40/2017;magasin appro
002987554 - 002;24/40/2017;bofix pdr;phytos;5;l;12,381;61,91;366272;30/40/2017;magasin appro
002987554 - 003;24/40/2017;biplay sx;phytos;0,6;kg;487,148;292,29;366272;30/40/2017;magasin appro
002987554 - 004;24/40/2017;mayandra;phytos;10;l;12,147;121,47;366272;30/40/2017;magasin appro
000413935 - 001;20/40/2017;epso top so4 mgo 16% 25kg;oligos;150;kg;0,468;70,2;366272;30/40/2017;warmeriville
000413935 - 002;20/40/2017;propulse pdr;phytos;15;l;54,946;824,19;366272;30/40/2017;warmeriville
000413935 - 003;20/40/2017;cherokee pdr;phytos;30;l;23,247;697,41;366272;30/40/2017;warmeriville
000413935 - 004;20/40/2017;c5sun;phytos;20;l;2,092;41,84;366272;30/40/2017;warmeriville
002987509 - 001;20/40/2017;acanto 250 sc pdr;phytos;4;l;43,766;175,06;366272;30/40/2017;magasin appro
010022536 - 001;13/40/2017;sol azotee 30n;engrais;4,106;t;215,868;886,35;366272;30/40/2017;warmeriville
010022537 - 001;13/40/2017;sol azotee 30n;engrais;3,902;t;215,868;842,32;366272;30/40/2017;warmeriville
010022538 - 001;13/40/2017;sol azotee 30n;engrais;3,188;t;215,868;688,19;366272;30/40/2017;warmeriville
010022542 - 001;13/40/2017;sol azotee 30n;engrais;3,856;t;215,868;832,39;366272;30/40/2017;warmeriville
010022544 - 001;13/40/2017;sol azotee 30n;engrais;1,716;t;215,868;370,43;366272;30/40/2017;warmeriville
002987325 - 001;70/40/2017;masque 3m 6200;agroequipements;1;unite;17,2;17,2;365246;30/40/2017;magasin appro
002987325 - 002;70/40/2017;kit de filtre masque 3m;agroequipements;1;unite;23,19;23,19;365246;30/40/2017;magasin appro
002987337 - 001;70/40/2017;guide protection cultures 2017;services;1;unite;----;----;365505;30/40/2017;magasin appro
010022319 - 001;31/30/2017;sol azotee 30n;engrais;3,959;t;193;764,09;363335;31/30/2017;warmeriville
000413888 - 001;29/30/2017;epso top so4 mgo 16% 25kg;oligos;25;kg;0,47;11,75;363335;31/30/2017;warmeriville
000413888 - 002;29/30/2017;sac evpp special collecte;agroequipements;2;unite;1,5;3;362025;31/30/2017;warmeriville
002987119 - 001;29/30/2017;epso top so4 mgo 16% 25kg;oligos;75;kg;0,47;35,25;363335;31/30/2017;magasin appro
010022024 - 001;22/30/2017;sol azotee 30n;engrais;4,002;t;193;772,39;363335;31/30/2017;warmeriville
010022053 - 001;22/30/2017;sol azotee 30n;engrais;3,898;t;193;752,31;363335;31/30/2017;warmeriville
000413873 - 002;22/30/2017;orge planet celest;semences;-1;mdose;344;-344;363335;31/30/2017;warmeriville
009965427 - 001;20/30/2017;complet 15-15-15+15so3;engrais;22,76;t;355;8079,8;363335;31/30/2017;bigral
009965427 - 002;20/30/2017;appli. mm terra-gator 1361 sn;services;55,37;unite;11,4;631,22;362395;31/30/2017;bigral
000413848 - 002;20/30/2017;orge planet celest;semences;-6;ql;62;-372;363335;31/30/2017;warmeriville
002986911 - 001;17/30/2017;c5sun;phytos;30;l;2,102;63,06;363335;31/30/2017;magasin appro
002986911 - 002;17/30/2017;lambdastar;phytos;2;l;97,336;194,67;363335;31/30/2017;magasin appro
002986911 - 003;17/30/2017;nutriboreamine (solubor);oligos;40;l;1,92;76,8;363335;31/30/2017;magasin appro
000413842 - 001;16/30/2017;orge planet langis celest;semences;5;mdose;428;2140;363335;31/30/2017;warmeriville
000413842 - 002;16/30/2017;orge planet langis celest;semences;1;mdose;440;440;363335;31/30/2017;warmeriville
000413842 - 003;16/30/2017;orge planet celest;semences;6;ql;62;372;363335;31/30/2017;warmeriville
000413842 - 004;16/30/2017;orge planet celest;semences;1;mdose;344;344;363335;31/30/2017;warmeriville
010021042 - 001;21/20/2017;sol soufree 26,6n + 17,5so3;engrais;4,012;t;257;1031,08;361099;28/20/2017;warmeriville
010021043 - 001;21/20/2017;sol soufree 26,6n + 17,5so3;engrais;3,965;t;257;1019,01;361099;28/20/2017;warmeriville
002986143 - 001;14/20/2017;barclay gallup super 360;phytos;40;l;4,743;189,72;361099;28/20/2017;magasin appro
002986143 - 002;14/20/2017;huile mix in;phytos;60;l;3,312;198,72;361099;28/20/2017;magasin appro
002986143 - 003;14/20/2017;altesse pro pdr;phytos;10;l;42,234;422,34;361099;28/20/2017;magasin appro
002986143 - 004;14/20/2017;quasar;phytos;1;kg;195,539;195,54;361099;28/20/2017;magasin appro
002986143 - 005;14/20/2017;primus;phytos;0,5;l;177,103;88,55;361099;28/20/2017;magasin appro
002986143 - 006;14/20/2017;sulfate ammoniac cristalise;engrais;0,05;t;275;13,75;361099;28/20/2017;magasin appro
009966252 - 001;14/20/2017;prelevement reliquats azote 2h;services;1;unite;----;----;----;----;direct usine
009966253 - 001;14/20/2017;prelevement reliquats azote 3h;services;1;unite;----;----;----;----;direct usine
009965143 - 001;90/20/2017;super triple 46%;engrais;3,28;t;336;1102,08;361099;28/20/2017;bigral
009965143 - 002;90/20/2017;appli. mm terra-gator 1361 sn;services;20,1;unite;11,4;229,14;360535;28/20/2017;bigral
009964707 - 001;30/12/2016;analyses de sol;services;1;unite;40,6;40,6;360535;28/20/2017;direct usine
000413755 - 001;60/12/2016;ble creek langis celest;semences;4;mdose;414,5;1658;361099;28/20/2017;warmeriville
000413755 - 002;60/12/2016;ble creek langis celest;semences;6;ql;78,5;471;361099;28/20/2017;warmeriville
000413748 - 001;10/12/2016;defi pdr;phytos;10;l;12,62;126,2;361099;28/20/2017;warmeriville
000413748 - 002;10/12/2016;compil;phytos;1;l;73,2;73,2;361099;28/20/2017;warmeriville
000413739 - 001;24/11/2016;nutriboreamine (solubor);oligos;60;l;2,001;120,06;361099;28/20/2017;warmeriville
000413739 - 002;24/11/2016;terreau horticole;lisa;1;unite;5,19;5,19;360412;28/20/2017;warmeriville
000413735 - 001;21/11/2016;lambdastar;phytos;1;l;115,946;115,95;361099;28/20/2017;warmeriville
000413735 - 002;21/11/2016;kerb flo;phytos;25;l;23,225;580,63;361099;28/20/2017;warmeriville
000413693 - 001;20/10/2016;ble triomph celest net;semences;2;mdose;331,5;663;361099;28/20/2017;warmeriville
000413693 - 002;20/10/2016;ble triomph celest net;semences;3;ql;63;189;361099;28/20/2017;warmeriville
000413670 - 001;10/10/2016;huile mix in;phytos;10;l;4,258;42,58;361099;28/20/2017;warmeriville
000413670 - 002;10/10/2016;agil pdr;phytos;10;l;37,915;379,15;361099;28/20/2017;warmeriville
000413670 - 003;10/10/2016;agil pdr;phytos;2;l;43,33;86,66;361099;28/20/2017;warmeriville
000413670 - 004;10/10/2016;satel pdr;phytos;2;l;53,354;106,71;361099;28/20/2017;warmeriville
000413639 - 001;16/90/2016;colzor trio pdr;phytos;60;l;23,43;1405,8;361099;28/20/2017;warmeriville
000413639 - 002;16/90/2016;novall pdr;phytos;20;l;40,24;804,8;361099;28/20/2017;warmeriville
002984113 - 001;15/90/2016;barclay gallup super 360;phytos;20;l;4,05;81;361099;28/20/2017;magasin appro
002984113 - 002;15/90/2016;transit;phytos;5;l;10,5;52,5;361099;28/20/2017;magasin appro
002984113 - 003;15/90/2016;radis final;semences;30;kg;3,91;117,3;361099;28/20/2017;magasin appro
002984113 - 004;15/90/2016;moutarde brisant an tardive;semences;50;kg;2,14;107;361099;28/20/2017;magasin appro
000413598 - 001;20/90/2016;moutarde caribela an tardive;semences;50;kg;2,49;124,5;361099;28/20/2017;warmeriville
000413598 - 002;20/90/2016;radis final;semences;30;kg;3,91;117,3;361099;28/20/2017;warmeriville
000413599 - 001;20/90/2016;colza cristiano;semences;1;dose;187;187;361099;28/20/2017;warmeriville
000413599 - 002;20/90/2016;colza expansion;semences;3;dose;187;561;361099;28/20/2017;warmeriville
000413599 - 003;20/90/2016;colza es alicia do;semences;4;dose;15;60;361099;28/20/2017;warmeriville
009963407 - 001;20/90/2016;abonnement cajnet;services;1;unite;----;----;360535;28/20/2017;direct usine
